Open,High,Low,Close,Adj_Close,Volume
295.4527,299.232,292.72968,294.28418,295.69073,9873332.0
295.45728,299.2164,292.72748,294.294,295.68787,9882229.0
295.47546,299.15433,292.71866,294.33307,295.67642,9917655.0
296.07495,297.10916,292.4287,295.6209,295.29993,11084647.0
295.36368,299.53693,292.773,294.0902,295.74667,9699632.0
296.17886,296.75467,292.37845,295.84412,295.23468,11286923.0
295.47546,299.15433,292.71866,294.3331,295.67642,9917660.0
295.52032,299.00125,292.69696,294.42947,295.64825,10005006.0
297.49597,292.43903,291.604,300.4455,294.56967,13760965.0
295.58063,298.79556,292.66782,294.559,295.61038,10122361.0
295.99442,297.38394,292.46765,295.44788,295.3505,10927851.0
295.28214,299.84488,292.81943,293.84872,295.79916,9530834.0
295.24573,299.9824,292.84015,293.74084,295.8226,9455439.0
295.24472,299.98624,292.84073,293.73782,295.82324,9453345.0
295.24472,299.98624,292.84073,293.73782,295.82324,9453345.0
295.24472,299.98624,292.84073,293.73782,295.82324,9453345.0
295.4243,299.3289,292.7434,294.22318,295.70856,9818054.0
295.24472,299.98624,292.84073,293.73782,295.82324,9453345.0
295.26013,299.9281,292.83197,293.78342,295.81335,9485203.0
295.46655,299.1847,292.72296,294.31396,295.682,9900329.0
296.13156,296.91595,292.40134,295.74258,295.26437,11194881.0
295.24472,299.98624,292.84073,293.73782,295.82324,9453345.0
295.3233,299.68942,292.79602,293.9706,295.77267,9616034.0
295.24472,299.98624,292.84073,293.73782,295.82324,9453345.0
296.2147,296.63242,292.3611,295.9211,295.21216,11356676.0
295.45135,299.23657,292.73032,294.28128,295.69156,9870719.0
300.26575,293.28665,288.381,325.54266,295.0491,25170694.0
295.74246,298.24347,292.58954,294.90665,295.50876,10437393.0
295.39233,299.43796,292.75888,294.15448,295.72864,9755808.0
295.24472,299.98624,292.84073,293.73782,295.82324,9453345.0
295.24472,299.98624,292.84073,293.73782,295.82324,9453345.0
295.24472,299.98624,292.84073,293.73782,295.82324,9453345.0
298.17853,291.83267,290.91876,305.42728,294.5133,16080540.0
295.24472,299.98624,292.84073,293.73782,295.82324,9453345.0
295.3906,299.44388,292.7597,294.15076,295.72974,9752436.0
295.50507,299.0533,292.70435,294.3967,295.65784,9975294.0
295.24472,299.98624,292.84073,293.73782,295.82324,9453345.0
